Timestamp_s,Position_m,Velocity_ms,Angle_rad,Angular_Velocity_rads,Integral_Position_ms,Control_Input_rads
0.29700613021850586,-0.1,0.0,-0.0008,0.0016,-0.001,-0.0617
0.2971498966217041,-0.1,-0.0006,-0.0024,0.0108,-0.002,-0.1295
0.2972710132598877,-0.1001,-0.0017,-0.0028,0.0179,-0.003,-0.196
0.2973759174346924,-0.1001,-0.0031,-0.0051,0.0473,-0.004,-0.2613
0.29747891426086426,-0.1002,-0.0047,-0.0055,0.1414,-0.005,-0.2699
0.29758596420288086,-0.1003,-0.0059,-0.0044,0.2342,-0.006,-0.2119
0.29768800735473633,-0.1004,-0.0062,-0.0015,0.2789,-0.007,-0.1048
0.29778504371643066,-0.1004,-0.0054,0.0015,0.2399,-0.008,-0.0013
0.29788684844970703,-0.1004,-0.0038,0.0026,0.1647,-0.009,0.0625
0.29798388481140137,-0.1004,-0.002,0.0033,0.1568,-0.01,0.1271
0.2980799674987793,-0.1003,-0.0002,0.0042,0.1123,-0.011,0.1708
0.2981839179992676,-0.1003,0.0015,0.0037,0.0665,-0.012,0.1817
0.29828596115112305,-0.1002,0.0028,0.0043,0.0234,-0.013,0.1696
0.298382043838501,-0.1002,0.0036,0.0031,-0.0249,-0.014,0.1185
0.29848384857177734,-0.1001,0.0037,0.0015,-0.0408,-0.015,0.045
0.2985799312591553,-0.1001,0.003,0.0002,-0.0575,-0.016,-0.0491
0.2986791133880615,-0.1001,0.0016,-0.0021,-0.0163,-0.017,-0.1339
0.2987840175628662,-0.1002,-0.0002,-0.0022,0.0403,-0.018,-0.1846
0.29888296127319336,-0.1002,-0.0019,-0.0024,0.0578,-0.019,-0.2267
0.29898500442504883,-0.1003,-0.0035,-0.0031,0.11,-0.02,-0.2416
0.2990891933441162,-0.1004,-0.0048,-0.0023,0.1797,-0.021,-0.2063
0.2991979122161865,-0.1005,-0.0054,-0.0,0.1992,-0.0221,-0.1431
0.29930901527404785,-0.1005,-0.0052,0.0017,0.1898,-0.0231,-0.0734
0.29941296577453613,-0.1005,-0.0043,0.0037,0.1801,-0.0241,0.0042
0.2995121479034424,-0.1005,-0.003,0.0047,0.1554,-0.0251,0.074
0.29961299896240234,-0.1005,-0.0014,0.0057,0.1597,-0.0261,0.1543
0.29970717430114746,-0.1005,0.0005,0.0074,0.1208,-0.0271,0.2228
0.2998011112213135,-0.1004,0.0026,0.0073,0.0825,-0.0281,0.2672
0.2998991012573242,-0.1003,0.0044,0.008,0.0292,-0.0291,0.2832
0.29999518394470215,-0.1002,0.0058,0.0073,-0.0239,-0.0301,0.2602
0.30009007453918457,-0.1001,0.0066,0.0064,-0.0554,-0.0311,0.2107
0.30019187927246094,-0.1,0.0067,0.0052,-0.094,-0.0321,0.1275
0.30028700828552246,-0.1,0.0059,0.0029,-0.1108,-0.0331,0.0168
0.3003880977630615,-0.1,0.0043,0.0015,-0.1071,-0.0341,-0.103
0.3004910945892334,-0.1,0.002,-0.0009,-0.0705,-0.0351,-0.2184
0.30059099197387695,-0.1001,-0.0007,-0.0016,-0.0012,-0.0361,-0.2956
0.30069804191589355,-0.1002,-0.0034,-0.0025,0.077,-0.0371,-0.3306
0.3008739948272705,-0.1003,-0.0056,-0.0013,0.1836,-0.0381,-0.2901
0.3010239601135254,-0.1004,-0.0067,0.0019,0.2283,-0.0391,-0.1986
0.30114102363586426,-0.1005,-0.0067,0.0046,0.205,-0.0401,-0.1031
0.3012521266937256,-0.1005,-0.0057,0.0066,0.1769,-0.0411,-0.0112
0.30135297775268555,-0.1005,-0.0041,0.0074,0.1544,-0.0421,0.0728
0.3014519214630127,-0.1005,-0.0021,0.0095,0.1161,-0.0431,0.1478
0.30156397819519043,-0.1004,-0.0001,0.0098,0.062,-0.0441,0.1914
0.30166101455688477,-0.1004,0.0018,0.0098,0.0398,-0.0451,0.2219
0.3017590045928955,-0.1003,0.0034,0.0104,-0.0244,-0.0461,0.2161
0.3018670082092285,-0.1002,0.0045,0.0089,-0.0686,-0.0471,0.1709
0.3019840717315674,-0.1002,0.0048,0.0075,-0.0809,-0.0481,0.1081
0.30208683013916016,-0.1001,0.0044,0.006,-0.0984,-0.0491,0.0229
0.3022170066833496,-0.1001,0.0033,0.0042,-0.0845,-0.0501,-0.0669
0.30231809616088867,-0.1002,0.0017,0.0028,-0.0776,-0.0511,-0.1641
0.30241990089416504,-0.1002,-0.0004,0.0012,-0.0353,-0.0521,-0.2468
0.3025221824645996,-0.1003,-0.0027,0.0008,0.008,-0.0531,-0.3066
0.30262303352355957,-0.1004,-0.0049,0.0,0.0923,-0.0541,-0.3188
0.30273985862731934,-0.1005,-0.0065,0.0018,0.1588,-0.0552,-0.2771
0.30286598205566406,-0.1006,-0.0073,0.0037,0.1802,-0.0562,-0.2085
0.3029618263244629,-0.1006,-0.0071,0.0054,0.1891,-0.0572,-0.1223
0.30307817459106445,-0.1007,-0.0062,0.0068,0.1937,-0.0582,-0.0223
0.3031799793243408,-0.1007,-0.0045,0.009,0.1808,-0.0592,0.0856
0.30327796936035156,-0.1007,-0.0023,0.0099,0.1809,-0.0602,0.2017
0.30338406562805176,-0.1006,0.0003,0.0124,0.143,-0.0612,0.3125
0.30348801612854004,-0.1005,0.0033,0.0149,0.05,-0.0622,0.3828
0.3036050796508789,-0.1004,0.006,0.0147,-0.089,-0.0632,0.3632
0.30371618270874023,-0.1003,0.0078,0.0114,-0.1661,-0.0642,0.2713
0.30382513999938965,-0.1002,0.0081,0.0087,-0.1592,-0.0652,0.1645
0.3039212226867676,-0.1001,0.0073,0.0071,-0.1446,-0.0662,0.0555
0.30402398109436035,-0.1001,0.0056,0.0054,-0.1284,-0.0672,-0.0566
0.3041260242462158,-0.1001,0.0034,0.0032,-0.0895,-0.0682,-0.1612
0.3042290210723877,-0.1002,0.0008,0.0023,-0.0093,-0.0692,-0.2225
0.3043351173400879,-0.1002,-0.0016,0.0022,0.0329,-0.0702,-0.2589
0.3044559955596924,-0.1003,-0.0037,0.0018,0.1106,-0.0712,-0.2498
0.304563045501709,-0.1004,-0.005,0.0039,0.1675,-0.0722,-0.1897
0.30465102195739746,-0.1005,-0.0053,0.0064,0.1721,-0.0732,-0.1096
0.30475306510925293,-0.1005,-0.0048,0.0078,0.1631,-0.0742,-0.0248
0.3048398494720459,-0.1005,-0.0036,0.0102,0.1354,-0.0752,0.0594
0.3049349784851074,-0.1005,-0.0019,0.0105,0.1099,-0.0762,0.1301
0.3050191402435303,-0.1004,-0.0001,0.0117,0.1179,-0.0772,0.2159
0.30512094497680664,-0.1004,0.002,0.0138,0.0623,-0.0782,0.2821
0.30521702766418457,-0.1003,0.0042,0.0145,-0.0331,-0.0792,0.2927
0.42238402366638184,-0.1002,0.0058,0.013,-0.1026,-0.0802,0.2485
0.4225468635559082,-0.1001,0.0065,0.0114,-0.1237,-0.0813,0.1798
0.42266201972961426,-0.1001,0.0063,0.0101,-0.141,-0.0823,0.0901
0.4227750301361084,-0.1,0.0053,0.008,-0.1408,-0.0833,-0.0153
0.4228789806365967,-0.1,0.0035,0.0055,-0.1109,-0.0843,-0.1206
0.42298102378845215,-0.1001,0.0013,0.0043,-0.0374,-0.0853,-0.1889
0.42308998107910156,-0.1001,-0.0009,0.0047,-0.0037,-0.0863,-0.2343
0.42319416999816895,-0.1002,-0.0029,0.0042,0.0468,-0.0873,-0.2517
0.42329907417297363,-0.1003,-0.0045,0.0054,0.1196,-0.0883,-0.2154
0.4233980178833008,-0.1004,-0.0053,0.0076,0.145,-0.0893,-0.1476
0.42349696159362793,-0.1004,-0.0051,0.0091,0.1432,-0.0903,-0.0704
0.42359495162963867,-0.1004,-0.0043,0.0111,0.1403,-0.0913,0.0197
0.5755140781402588,-0.1004,-0.0028,0.0124,0.0925,-0.0923,0.089
0.5756652355194092,-0.1004,-0.0011,0.0117,0.0938,-0.0933,0.1553
0.5757780075073242,-0.1003,0.0008,0.0137,0.0919,-0.0943,0.2358
0.5758819580078125,-0.1003,0.0028,0.0146,0.0197,-0.0953,0.2767
0.5759940147399902,-0.1002,0.0047,0.014,-0.0684,-0.0963,0.2579
0.5760970115661621,-0.1001,0.0058,0.0123,-0.1153,-0.0973,0.197
0.5762031078338623,-0.1,0.006,0.0108,-0.1318,-0.0983,0.1147
0.5763020515441895,-0.1,0.0053,0.0091,-0.1358,-0.0993,0.0171
0.5764029026031494,-0.1,0.0039,0.0063,-0.1051,-0.1003,-0.0824
0.5765039920806885,-0.1,0.0019,0.0062,-0.065,-0.1013,-0.1582
0.5766079425811768,-0.1001,-0.0002,0.0057,-0.0815,-0.1023,-0.2498
0.5767102241516113,-0.1001,-0.0026,0.0029,-0.0361,-0.1033,-0.3334
0.5768089294433594,-0.1003,-0.0051,0.0026,0.0899,-0.1043,-0.3402
0.5769081115722656,-0.1004,-0.0069,0.0052,0.1686,-0.1053,-0.2788
0.5770070552825928,-0.1005,-0.0075,0.007,0.1878,-0.1063,-0.1929
0.6872580051422119,-0.1005,-0.0071,0.0088,0.2086,-0.1073,-0.0803
0.6873898506164551,-0.1005,-0.0058,0.0112,0.2071,-0.1083,0.0484
0.6874911785125732,-0.1005,-0.0036,0.0142,0.1664,-0.1093,0.1737
0.6875960826873779,-0.1005,-0.0008,0.0155,0.0794,-0.1103,0.2536
0.6876931190490723,-0.1004,0.0019,0.0157,0.0173,-0.1113,0.2964
0.6877858638763428,-0.1003,0.0042,0.0161,-0.059,-0.1123,0.2941
0.6878840923309326,-0.1002,0.0058,0.014,-0.1271,-0.1133,0.2341
0.6879911422729492,-0.1001,0.0064,0.0118,-0.1328,-0.1143,0.1546
0.68808913230896,-0.1001,0.006,0.0109,-0.1237,-0.1153,0.0739
0.6881871223449707,-0.1,0.0049,0.0094,-0.1086,-0.1163,-0.0084
0.6882879734039307,-0.1,0.0033,0.0075,-0.0873,-0.1173,-0.092
0.8039910793304443,-0.1001,0.0014,0.0064,-0.0213,-0.1183,-0.142
0.8041331768035889,-0.1001,-0.0004,0.007,0.0146,-0.1193,-0.1657
0.8042290210723877,-0.1002,-0.0019,0.006,0.0445,-0.1203,-0.1791
0.8043200969696045,-0.1002,-0.0031,0.0067,0.1076,-0.1213,-0.1475
0.80442214012146,-0.1003,-0.0036,0.0091,0.1293,-0.1223,-0.0854
0.8045110702514648,-0.1003,-0.0033,0.0105,0.1172,-0.1233,-0.0213
0.8046021461486816,-0.1003,-0.0025,0.0122,0.0988,-0.1243,0.0436
0.8046929836273193,-0.1003,-0.0014,0.0133,0.0541,-0.1254,0.0878
0.8047921657562256,-0.1003,-0.0001,0.0134,0.0269,-0.1264,0.1162
0.8048748970031738,-0.1002,0.0011,0.0137,0.0146,-0.1274,0.1395
0.8049609661102295,-0.1002,0.0021,0.014,-0.0153,-0.1284,0.1461
0.8050470352172852,-0.1001,0.0029,0.0141,-0.0462,-0.1294,0.1333
0.9037392139434814,-0.1001,0.0033,0.013,-0.0828,-0.1304,0.0895
0.9038891792297363,-0.1001,0.0032,0.0116,-0.0917,-0.1314,0.0294
0.9039909839630127,-0.1001,0.0025,0.0101,-0.0832,-0.1324,-0.0366
0.9040839672088623,-0.1001,0.0014,0.0088,-0.0403,-0.1334,-0.0854
0.904181957244873,-0.1001,0.0002,0.0085,-0.0094,-0.1344,-0.1169
0.9042758941650391,-0.1001,-0.001,0.0086,0.0004,-0.1354,-0.1427
0.904367208480835,-0.1002,-0.0021,0.0084,0.0263,-0.1364,-0.1541
0.9044589996337891,-0.1002,-0.003,0.008,0.0588,-0.1374,-0.1485
0.9045491218566895,-0.1003,-0.0035,0.0091,0.0973,-0.1384,-0.1105
0.9046399593353271,-0.1003,-0.0036,0.0108,0.0952,-0.1394,-0.0622
1.0146770477294922,-0.1003,-0.0031,0.0117,0.0749,-0.1404,-0.0199
1.014845848083496,-0.1003,-0.0024,0.0119,0.0775,-0.1414,0.0254
1.0149600505828857,-0.1003,-0.0014,0.0138,0.0727,-0.1424,0.0819
1.0150651931762695,-0.1003,-0.0002,0.0145,0.0199,-0.1434,0.1097
1.0151660442352295,-0.1003,0.0009,0.0139,0.0104,-0.1444,0.1276
1.0152630805969238,-0.1002,0.0019,0.0145,0.0028,-0.1454,0.1453
1.0153629779815674,-0.1002,0.0027,0.0148,-0.0563,-0.1464,0.1271
1.0154669284820557,-0.1001,0.0032,0.0129,-0.0766,-0.1474,0.0825
1.015566110610962,-0.1001,0.003,0.0123,-0.0709,-0.1484,0.037
1.0156660079956055,-0.1001,0.0025,0.0111,-0.0646,-0.1494,-0.0138
1.0157690048217773,-0.1001,0.0016,0.0109,-0.0615,-0.1504,-0.0649
1.1340758800506592,-0.1001,0.0005,0.0098,-0.0691,-0.1514,-0.1299
1.1342289447784424,-0.1002,-0.0009,0.0084,-0.0286,-0.1524,-0.18
1.134347915649414,-0.1002,-0.0024,0.0086,0.0056,-0.1534,-0.2071
1.1344499588012695,-0.1003,-0.0037,0.0077,0.0509,-0.1544,-0.2132
1.134545087814331,-0.1004,-0.0047,0.0091,0.1191,-0.1554,-0.1657
1.1346569061279297,-0.1004,-0.0049,0.011,0.131,-0.1564,-0.0975
1.1347651481628418,-0.1005,-0.0044,0.0121,0.1241,-0.1574,-0.0253
1.1348669528961182,-0.1005,-0.0033,0.0137,0.128,-0.1584,0.0607
1.1349680423736572,-0.1004,-0.0017,0.0158,0.0803,-0.1594,0.1322
1.1350672245025635,-0.1004,0.0001,0.0157,0.0364,-0.1604,0.1758
1.1351559162139893,-0.1003,0.0018,0.0165,0.0225,-0.1614,0.2164
1.135249137878418,-0.1003,0.0034,0.0173,-0.0339,-0.1624,0.2278
1.2296271324157715,-0.1002,0.0046,0.0164,-0.0775,-0.1634,0.2045
1.2297778129577637,-0.1001,0.0052,0.0152,-0.0945,-0.1644,0.1625
1.2298879623413086,-0.1001,0.0052,0.0138,-0.1115,-0.1654,0.0991
1.2299871444702148,-0.1,0.0046,0.0117,-0.1129,-0.1664,0.019
1.2300970554351807,-0.1,0.0034,0.0105,-0.0861,-0.1674,-0.0529
